sentence_index,sentence
709,"Though the plot is predictable , the movie never feels formulaic , because the attention is on the nuances of the emotional development of the delicate characters ."
710,"Sam Jones became a very lucky filmmaker the day Wilco got dropped from their record label , proving that one man 's ruin may be another 's fortune ."
711,"Goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast ."
712,Binoche and Magimel are perfect in these roles .
713,"When your leading ladies are a couple of screen-eating dominatrixes like Goldie Hawn and Susan Sarandon at their raunchy best , even hokum goes down easily ."
714,"While Undercover Brother is definitely one for the masses , it 's also full of sharp , smart satire ."
715,Gets under the skin of a man who has just lost his wife .
716,No wonder they 're talking about `` Talk to Her . ''
717,It 's astonishing .
718,"For its seriousness , high literary aspirations and stunning acting , the film can only be applauded ."
719,"Look , this is a terrific flick replete with dazzling camera-work , dancing and music ."
720,It is inspirational in characterizing how people from such diverse cultures share the same human and spiritual needs .
721,It 's fairly self-aware in its dumbness .
722,"A triumph , relentless and beautiful in its downbeat darkness ."
723,Tailored to entertain !
724,"A compelling , moving film that respects its audience and its source material ."
725,has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill .
726,A work of astonishing delicacy and force .
727,"The film benefits greatly from a less manic tone than its predecessor , as Cho appears to have settled comfortably into her skin ."
728,"For the first time in several years , Mr. Allen has surpassed himself with the magic he 's spun with the Hollywood empress of Ms. Leoni 's Ellie ."
729,"Is n't quite the equal of Woo 's best earlier work , but it 's easily his finest American film ... comes close to recapturing the brilliance of his Hong Kong films ."
730,"The film hinges on its performances , and both leads are up to the task ."
731,"An intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you 're getting its metaphysical point ."
732,A modest pleasure that accomplishes its goals with ease and confidence .
733,"A breezy , diverting , conventional , well-acted tale of two men locked in an ongoing game of cat-and-cat ."
734,What Jackson has accomplished here is amazing on a technical level .
735,"As teen movies go , `` Orange County '' is a refreshing change"
736,"Makes S&M seem very romantic , and Maggie Gyllenhaal is a delight ."
737,"A deliciously mordant , bitter black comedy ."
738,"Although Life or Something Like It is very much in the mold of feel-good movies , the cast and director Stephen Herek 's polished direction pour delightfully piquant wine from aged bottles ."
739,"It is risky , intelligent , romantic and rapturous from start to finish ."
740,The movie sticks much closer to Hornby 's drop-dead confessional tone than the film version of High Fidelity did .
741,"A pleasant ramble through the sort of idoosyncratic terrain that Errol Morris has often dealt with ... it does possess a loose , lackadaisical charm ."
742,"... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-"
743,"This is a raw and disturbing tale that took five years to make , and the trio 's absorbing narrative is a heart-wrenching showcase indeed ."
744,A beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .
745,"Aside from being the funniest movie of the year , Simone , Andrew Niccol 's brilliant anti-Hollywood satire , has a wickedly eccentric enchantment to it ."
746,Watstein handily directs and edits around his screenplay 's sappier elements ... and sustains Off the Hook 's buildup with remarkable assuredness for a first-timer .
747,Just another fish-out-of-water story that barely stays afloat .
748,There 's an energy to Y Tu MamÃ¡ TambiÃ©n .
749,"Much of it comes from the brave , uninhibited performances by its lead actors ."
750,It 's the kind of pigeonhole-resisting romp that Hollywood too rarely provides .
751,"Reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes ."
752,"You can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling ."
753,"It 's hard not to be seduced by -LRB- Witherspoon 's -RRB- charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max ."
754,A movie for 11-year-old boys with sports dreams of their own and the preteen girls who worship Lil ' Bow Wow .
755,A refreshingly authentic coming-of-age tale .
756,"If you 're not into the Pokemon franchise , this fourth animated movie in four years wo n't convert you -- or even keep your eyes open ."
757,But fans should have fun meeting a brand-new Pokemon called Celebi .
758,"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right ."
759,"Whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of Steve Irwin are priceless entertainment ."
760,Has a shambling charm ... a cheerfully inconsequential diversion .
761,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .
762,The movie has lots of dancing and fabulous music .
763,"There are slow and repetitive parts , but it has just enough spice to keep it interesting ."
764,An incredibly clever and superbly paced caper filled with scams within scams within scams .
765,"There 's not much more to this adaptation of the Nick Hornby novel than charm -- effortless , pleasurable , featherweight charm ."
766,"As a belated nod to some neglected all-stars , Standing in the Shadows of Motown is cultural history of the best kind : informative , revealing and richly entertaining ."
767,"Even if the ride 's a little bumpy , with a final lap that 's all too suspiciously smooth , you gotta give director Roger Michell , best known for the superfluous Notting Hill , credit for trying ."
768,"Not as distinctive or even as humorous as its needs to be to stand out , but it has clearly been made with affection and care ."
769,This is Carion 's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach .
770,"An intelligent , moving and invigorating film ."
771,... one of the most ingenious and entertaining thrillers I 've seen in quite a long time .
772,A clever blend of fact and fiction .
773,A vivid cinematic portrait .
774,"Hilarious , touching and wonderfully dyspeptic ."
775,"Theirs is a simple and heart-warming story , full of mirth that should charm all but the most cynical ."
776,The film is an enjoyable family film -- pretty much aimed at any youngster who loves horses .
777,A frisky and fresh romantic comedy exporing sexual politics and the challenges of friendships between women .
778,"It 's a good film -- not a classic , but odd , entertaining and authentic ."
779,"Flavorful and romantic , you could call this How Martha Got Her Groove Back -- assuming , that is , she ever had one to begin with ."
780,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .
781,Thurman and Lewis are hilarious throughout .
782,the plot is so amusingly contrived and outlandish in its coincidences that no one could ever mistake it for anything resembling reality
783,Hits one out of the park for the ` they do n't make 'em like that anymore ' department .
784,"It dares to be a little different , and that shading is what makes it worthwhile ."
785,#NAME?
786,"The comic performances are all spot on , especially Lee Ross 's turn as Ken ."
787,a compelling journey ... and `` His Best Friend Remembers '' is up there with the finest of specials .
788,"At nearly three hours , the whole of Safe Conduct is less than the sum of its parts ."
789,"The Hours makes you examine your own life in much the same way its characters do , and the experience is profound ."
790,The Hours is what movies are supposed to be ...
791,"A bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of Philip Glass ."
792,"Pretty darn good , despite its smarty-pants aura ."
793,"So young , so smart , such talent , such a wise \*\*\* ."
794,Woo 's fights have a distinct flair .
795,His warriors collide in balletic explosion that implies an underlying order throughout the chaos .
796,"Barney has created a tour de force that is weird , wacky and wonderful ."
797,"The ending does leave you unfulfilled , but these are performances to enjoy in a memorable ensemble piece ."
798,... an agreeable time-wasting device -- but George Pal 's low-tech 1960 version still rules the epochs .
799,"It 's a brave attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds ."
800,"Offers an unusual opportunity to observe the inequities in the death penalty , not just the inherent immorality but also the haphazard administration of it and public misperception of how the whole thing works ."
801,I do n't think I 've been as entranced and appalled by an Asian film since Shinya Tsukamoto 's Iron Man .
802,It is so refreshing to see Robin Williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .
803,"Director Benoit Jacquot , making his first opera-to-film translation with Tosca , conveys the heaving passion of Puccini 's famous love-jealousy - murder-suicide fandango with great cinematic innovation ."
804,"Lilia 's transformation from strict mother to sensual siren is superficially preposterous , but Abbas infuses the role with an unimpeachable core of emotional truth ."
805,Frida 's artistic brilliance is undeniable -- it 's among the most breathtakingly designed films I 've ever seen .
806,The perfect film for those who like sick comedies that can be snide .
807,"` Charly ' will divide its audience in two separate groups , those reaching for more tissues and those begging for mercy ..."
808,"Nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives Hollywood ."
809,A marvellous journey from childhood idealism to adolescent self-absorption .
810,"The film is just a big , gorgeous , mind-blowing , breath-taking mess ."
811,"Sharp , lively , funny and ultimately sobering film ."
812,"Though the film 's scenario is certainly not earthshaking , this depiction of fluctuating female sexuality has two winning lead performances and charm to spare ."
813,A worthy tribute to a great humanitarian and her vibrant ` co-stars . '
814,"A recent favourite at Sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of Def Leppard 's Pyromania ."
815,The recording session is the only part of the film that is enlightening -- and how appreciative you are of this depends on your level of fandom .
816,"Occasionally funny and consistently odd , and it works reasonably well as a star vehicle for Zhao ."
817,"Bright seems alternately amused and disgusted with this material , and he ca n't help throwing in a few of his own touches ."
818,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen ."
819,"Andersson creates a world that 's at once surreal and disturbingly familiar ; absurd , yet tremendously sad ."
820,"It 's predictable , but it jumps through the expected hoops with style and even some depth ."
821,"Often hilarious , well-shot and , importantly , entertaining , Hell House is a fascinating document of an event that has to be seen to be believed ."
822,"De Oliveira creates an emotionally rich , poetically plump and visually fulsome , but never showy , film whose bittersweet themes are reinforced and brilliantly personified by Michel Piccoli ."
823,... an inviting piece of film .
824,"The film 's real appeal wo n't be to Clooney fans or adventure buffs , but to moviegoers who enjoy thinking about compelling questions with no easy answers ."
825,The fact that The Rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays .
826,A deviant topical comedy which is funny from start to finish .
827,A startling and fresh examination of how the bike still remains an ambiguous icon in Chinese society .
828,"A highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . ."
829,it 's a worthwhile tutorial in quantum physics and slash-dash
830,"As Hugh Grant says repeatedly throughout the movie , ` Lovely !"
831,Brilliant ! '
832,"Cho 's fearless in picking apart human foibles , not afraid to lay her life bare in front of an audience ."
833,Her delivery and timing are flawless .
834,"Works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren ."
835,"At its best , The Good Girl is a refreshingly adult take on adultery ..."
836,An amazing and incendiary movie that dives straight into the rough waters of contradiction .
837,About nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the American dream .
838,"Occasionally , in the course of reviewing art-house obscurities and slam-bam action flicks , a jaded critic smacks into something truly new ."
839,"A miniscule little bleep on the film radar , but one that many more people should check out"
840,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point ."
841,"A slick , well-oiled machine , exquisitely polished and upholstered ."
842,"Do n't plan on the perfect ending , but Sweet Home Alabama hits the mark with critics who escaped from a small town life ."
843,It has a subtle way of getting under your skin and sticking with you long after it 's over .
844,The movie stays afloat thanks to its hallucinatory production design .
845,"It helps that the central performers are experienced actors , and that they know their roles so well ."
846,"A provocative movie about loss , anger , greed , jealousy , sickness and love ."
847,Worth the effort to watch .
848,That rara avis : the intelligent romantic comedy with actual ideas on its mind .
849,Boisterous and daft documentary .
850,Hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in Burdette 's dialogue .
851,"A work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director Eric Byler , who understands the power of the implicit and the virtues of simplicity and economy ."
852,Full Frontal is the antidote for Soderbergh fans who think he 's gone too commercial since his two Oscar nominated films in 2000
853,"It turns out to be a cut above the norm , thanks to some clever writing and sprightly acting ."
854,"You might not want to hang out with Samantha , but you 'll probably see a bit of yourself in her unfinished story ."
855,"A work of intricate elegance , literary lyricism and profound common sense ."
856,It 's as close as we 'll ever come to looking through a photographer 's viewfinder as he works .
857,"Thoughtful , provocative and entertaining ."
858,"Witty , touching and well paced ."
859,Lee Jeong-Hyang tells it so lovingly and films it so beautifully that I could n't help being captivated by it .
860,"You have to pay attention to follow all the stories , but they 're each interesting ."
861,"The movie is well shot and very tragic , and one to ponder after the credits roll ."
862,Enjoy it for what it is ; you can hate yourself later .
863,A map of the inner rhythms of love and jealousy and sacrifice drawn with a master 's steady stroke .
864,A psychological thriller with a smart script and an obsessive-compulsive 's attention to detail .
865,"Grant gets to display his cadness to perfection , but also to show acting range that may surprise some who thought light-hearted comedy was his forte ."
866,"At times funny and at other times candidly revealing , it 's an intriguing look at two performers who put themselves out there because they love what they do ."
867,Westfeldt and Juergensen exude a chemistry and comfort level that 's both saucy and endearing .
868,"Harsh , effective documentary on life in the Israeli-occupied Palestinian territories ."
869,"The film is all a little Lit Crit 101 , but it 's extremely well played and often very funny ."
870,"Earns its laughs from stock redneck ` types ' and from the many , many moments when we recognize even without the Elizabethan prose , the play behind the thing ."
871,"A real story about real people living their lives concerned about the future of an elderly , mentally handicapped family member ."
872,It 's absolutely spooky how Lillard channels the Shagster right down to the original Casey Kasem-furnished voice .
873,A dream cast of solid female talent who build a seamless ensemble .
874,There is n't a weak or careless performance amongst them .
875,"Smart science fiction for grown-ups , with only a few false steps along the way ."
876,It 's a refreshing change from the self-interest and paranoia that shape most American representations of Castro .
877,Often moving and explores the discomfort inherent in the contacts between the American ` hosts ' and their ` guests . '
878,"Though the controversial Korean filmmaker 's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding ."
879,"Lathan and Diggs have considerable personal charm , and their screen rapport makes the old story seem new ."
880,"The story may not be new , but Australian director John Polson , making his American feature debut , jazzes it up adroitly ."
881,"It 's endearing to hear Madame D. refer to her husband as ` Jackie ' -- and he does make for excellent company , not least as a self-conscious performer ."
882,The film often achieves a mesmerizing poetry .
883,More than makes up for its mawkish posing by offering rousing spates of genuine feeling .
884,It 's neither as romantic nor as thrilling as it should be .
885,But it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .
886,"Occasionally funny , always very colorful and enjoyably overblown in the traditional AlmodÃ³var style ."
887,Merchant effectively translates Naipaul 's lively mix of characters from the page to screen .
888,Some movies are like a tasty hors-d'oeuvre ; this one is a feast .
889,"What could have become just another cautionary fable is allowed to play out as a clever , charming tale -- as pleasantly in its own way as its self-dramatizing characters ."
890,Davis has filled out his cast with appealing fresh faces .
891,Achieves a sort of filmic epiphany that revels in the true potential of the medium .
892,Once you get into its rhythm ... the movie becomes a heady experience .
893,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era
894,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian ."
895,A fast-moving and remarkable film that appears destined to become a landmark in Japanese animation .
896,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''
897,"feeling to it , but like the 1920 's , the trip there is a great deal of fun ."
898,A worthy entry into a very difficult genre .
899,-LRB- Broomfield -RRB- uncovers a story powerful enough to leave the screen sizzling with intrigue .
900,Eight Crazy Nights is a showcase for Sandler 's many talents .
901,"A sweet-natured reconsideration of one of San Francisco 's most vital , if least widely recognized , creative fountainheads ."
902,"This is one of the most visually stunning and thematically moving epics in recent memory , and in spite of numerous minor flaws , Scorsese 's best in more than a decade ."
903,Everywhere the camera looks there is something worth seeing .
904,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind .
905,"It 's a nicely detailed world of pawns , bishops and kings , of wagers in dingy backrooms or pristine forests ."
906,"A charming , quirky and leisurely paced Scottish comedy -- except with an outrageous central gimmick that could have been a reject from Monty Python 's Meaning of Life ."
907,It never fails to engage us .
908,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for ."
909,A charming romantic comedy that is by far the lightest Dogme film and among the most enjoyable .
910,"This is the kind of movie that used to be right at home at the Saturday matinee , and it still is ."
911,The spark of special anime magic here is unmistakable and hard to resist .
912,"Like its two predecessors , 1983 's Koyaanisqatsi and 1988 's Powaqqatsi , the cinematic collage Naqoyqatsi could be the most navel-gazing film ever ."
913,"Baran is n't the most transporting or gripping film from Iran -- or , indeed , by its director -- but it 's a worthy companion to the many fine , focused films emerging from that most surprising of nations ."
914,The visuals alone make Metropolis worth seeing .
915,"Dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement ."
916,"A picture that extols the virtues of comradeship and community in a spunky , spirited fashion ."
917,"A resonant tale of racism , revenge and retribution ."
918,Noyce 's film is contemplative and mournfully reflective .
919,"Here , Adrian Lyne comes as close to profundity as he is likely to get ."
920,Evokes a little of the fear that parents have for the possible futures of their children -- and the sometimes bad choices mothers and fathers make in the interests of doing them good .
921,"Rain is a small treasure , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic ."
922,"An elegant , exquisitely modulated psychological thriller ."
923,"This concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under-12 audience is concerned ."
924,"Droll caper-comedy remake of `` Big Deal on Madonna Street '' that 's a sly , amusing , laugh-filled little gem in which the ultimate `` Bellini '' begins to look like a `` real Kaputschnik . ''"
925,It 's a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown Chelsea Hotel ...
926,Is it a total success ?
927,No. .
928,Is it something any true film addict will want to check out ?
929,You bet .
930,"Zany , exuberantly irreverent animated space adventure ."
931,Dolgin and Franco fashion a fascinating portrait of a Vietnamese-born youngster who eagerly and easily assimilated as an all-American girl with a brand new name in southern Tennessee .
932,The disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .
933,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .
934,Search it out .
935,"Engrossing and affecting , if ultimately not quite satisfying ."
936,"The story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions ."
937,"A sly game of cat and mouse that 's intense and thrilling at times , but occasionally stretches believability to its limits and relies on predictable plot contrivances ."
938,"Funny and , at times , poignant , the film from director George Hickenlooper all takes place in Pasadena , `` a city where people still read . ''"
939,This horror-comedy does n't go for the usual obvious laughs at the expense of cheap-looking monsters -- unless you count Elvira 's hooters .
940,"The movie 's eventual success should be credited to Dennis Quaid , in fighting trim shape as an athlete as well as an actor"
941,Not a bad journey at all .
942,Sits uneasily as a horror picture ... but finds surprising depth in its look at the binds of a small family .
943,"Windtalkers blows this way and that , but there 's no mistaking the filmmaker in the tall grass , true to himself ."
944,"There is a refreshing absence of cynicism in Stuart Little 2 -- quite a rarity , even in the family film market ."
945,"Eventually , it wins you over ."
946,Noyce films it more as a shocking history lesson than as drama .
947,Like a south-of-the-border Melrose Place .
948,Those with an interest in new or singular sorts of film experiences will find What Time Is It There ?
949,well worth the time .
950,A wildly funny prison caper .
951,"Huppert gives Erika a persona that is so intriguing that you find yourself staring hypnotically at her , trying to understand her and wondering if she 'll crack ."
952,"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it ."
953,"You 'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it ."
954,"The actors are so terrific at conveying their young angst , we do indeed feel for them ."
955,The reason this picture works better than its predecessors is that Myers is no longer simply spoofing the mini-mod-madness of '60s spy movies .
956,"It is a kickass , dense sci-fi action thriller hybrid that delivers and then some ."
957,"I have n't seen one in so long , no wonder I did n't recognize it at first ."
958,a compelling portrait of moral emptiness
959,"In Adobo , ethnicity is not just the spice , but at the heart of more universal concerns ."
960,"It is ridiculous , of course ... but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness ."
961,... Blade II is more enjoyable than the original .
962,A film that takes you inside the rhythms of its subject : You experience it as you watch .
963,The movie exists for its soccer action and its fine acting .
964,The movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances .
965,The film starts out as competent but unremarkable ... and gradually grows into something of considerable power .
966,"Nothing Denis has made before , like Beau Travil and Nenette et Boni , could prepare us for this gory , perverted , sex-soaked riff on the cannibal genre ."
967,"Reinforces the talents of screenwriter Charlie Kaufman , creator of Adaptation and Being John Malkovich ."
968,"Greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by Schweig , who carries the film on his broad , handsome shoulders ."
969,"Finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original ."
970,"A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history ."
971,This is art paying homage to art .
972,"... a joke at once flaky and resonant , lightweight and bizarrely original ."
973,Invincible is a wonderful movie .
974,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous , starring Piper Perabo in what could be her breakthrough role ."
975,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver ."
976,Occasionally amateurishly made but a winsome cast and nice dialogue keeps it going .
977,Japan 's premier stylist of sex and blood hits audiences with what may be his most demented film to date .
978,"Culkin , who 's in virtually every scene , shines as a young man who uses sarcastic lies like a shield ."
979,Cuts right through the B.S. giving a big middle-fingered `` shut up '' to those who talk up what is nothing more than two guys beating the hell outta one another .
980,The AM-radio soundtrack and game cast -- Tierney and the inimitable Walken especially -- keep this unusual comedy from choking on its own conceit .
981,"... does such a fine job of engulfing you in its world and allying you with its characters ' choices , good and ill , that its shortcomings are remembered only as an afterthought ."
982,"Marvelous , merry and , yes , melancholy film ."
983,"From spiritual rebirth to bruising defeat , Vincent 's odyssey resonates in a profound way , comparable to the classic films of Jean Renoir ."
984,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty , no-budget approach ."
985,Insomnia is involving .
986,"Still , I thought it could have been more ."
987,There was time on that second round to see the subtleties of Ramsay 's portrait of grief .
988,"We can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer ."
989,"A comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience ."
990,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .
991,A worthwhile way to spend two hours .
992,Francophiles will snicker knowingly and you 'll want to slap them .
993,"Sensitive , insightful and beautifully rendered film ."
994,One of the best of the year .
995,"A love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats ."
996,"Throwing caution to the wind with an invitation to the hedonist in us all , Nair has constructed this motion picture in such a way that even the most cynical curmudgeon with find himself or herself smiling at one time or another ."
997,Makes an aborbing if arguable case for the man 's greatness .
998,"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years ."
999,"... a haunting vision , with images that seem more like disturbing hallucinations ."
1000,It is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .
