Index,Comments
611,"I not busy juz dun wan 2 go so early.. Hee.. ,ham"
612,"Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.,ham"
613,"Doing project w frens lor. ,ham"
614,"I'm not coming home 4 dinner.,ham"
615,"Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.,ham"
616,"Ok lor ü reaching then message me.,ham"
617,"Happy birthday... May all ur dreams come true...,ham"
618,"I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,ham"
619,"Ü give me some time to walk there.,ham"
620,"Ü all write or wat..,ham"
621,"Then ü come n pick me at 530 ar?,ham"
622,"Thanx 4 sending me home...,ham"
623,"Is ur lecture over?,ham"
624,"Sorry me going home first... Daddy come fetch ü later...,ham"
625,"Okie.. Thanx..,ham"
626,"Will ü b going to esplanade fr home?,ham"
627,"We confirm eating at esplanade?,ham"
628,"7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,ham"
629,"Ü got wat to buy tell us then ü no need to come in again.,ham"
630,"Wat's da model num of ur phone?,ham"
631,"Hmm thinking lor...,ham"
632,"Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,ham"
633,"Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham"
634,"Jokin only lar... :-) depends on which phone my father can get lor...,ham"
635,"No need to buy lunch for me.. I eat maggi mee..,ham"
636,"I know she called me,ham"
637,"Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?,ham"
638,"I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,ham"
639,"Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,ham"
640,"That's y we haf to combine n c how lor...,ham"
641,"cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,ham"
642,"Now? I'm going out 4 dinner soon..,ham"
643,"Oh ok.. Wat's ur email?,ham"
644,"I've sent ü my part..,ham"
645,"I emailed yifeng my part oredi.. Can ü get it fr him..,ham"
646,"No need to ke qi... Ü too bored izzit y suddenly thk of this...,ham"
647,"TaKe CaRE n gET WeLL sOOn,ham"
648,"Ü no home work to do meh... ,ham"
649,"Huh so late... Fr dinner?,ham"
650,"Yup i'm elaborating on the safety aspects and some other issues..,ham"
651,"Oic... Then better quickly go bathe n settle down...,ham"
652,"I'm hungry buy smth home...,ham"
653,"But i juz remembered i gotta bathe my dog today..,ham"
654,"Ok lor thanx... Ü in school?,ham"
655,"Ok thanx... Take care then...,ham"
656,"Oops i thk i dun haf enuff... I go check then tell ü..,ham"
657,"Ü only send me the contents page...,ham"
658,"Wat time ü finish?,ham"
659,"But i haf enuff space got like 4 mb...,ham"
660,"Where r e meeting tmr?,ham"
661,"Oh ok no prob..,ham"
662,"Huh i cant thk of more oredi how many pages do we have?,ham"
663,"Can ü send me a copy of da report?,ham"
664,"I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,ham"
665,"How abt making some of the pics bigger?,ham"
666,"Nope i'll come online now..,ham"
667,"How r ü going to send it to me?,ham"
668,"Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..,ham"
669,"I havent add ü yet right.. ,ham"
670,"They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..  ,ham"
671,"Hey r ü still online? I've finished the formatting...,ham"
672,"Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,ham"
673,"Ok.. Ü finishing soon?,ham"
674,"So ü'll be submitting da project tmr rite?,ham"
675,"Ok lor... But buy wat?,ham"
676,"Or ü go buy wif him then i meet ü later can?,ham"
677,"Huh so early.. Then ü having dinner outside izzit?,ham"
678,"Must come later.. I normally bathe him in da afternoon mah..,ham"
679,"Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,ham"
680,"Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),ham"
681,"Yar but they say got some error.,ham"
682,"If u dun drive then how i go 2 sch.,ham"
683,"Yup,ham"
684,"Anything...,ham"
685,"Then u drive lor.,ham"
686,"Ok,ham"
687,"Wat time liao, where still got.,ham"
688,"Gd luck 4 ur exams :-),ham"
689,"Is ur paper today in e morn or aft?,ham"
690,"U studying in sch or going home? Anyway i'll b going 2 sch later.,ham"
691,"Oh ok..,ham"
692,"In sch but neva mind u eat 1st lor..,ham"
693,"Call me when u finish then i come n pick u.,ham"
694,"Hui xin is in da lib.,ham"
695,"Okie...,ham"
696,"U wan 2 haf lunch i'm in da canteen now.,ham"
697,"Haf u found him? I feel so stupid da v cam was working.,ham"
698,"Where r we meeting?,ham"
699,"I went to ur hon lab but no one is there.,ham"
700,"I've reached sch already...,ham"
701,"Can u look 4 me in da lib i got stuff havent finish yet.,ham"
702,"Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ham"
703,"Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,ham"
704,"Din i tell u jus now 420,ham"
705,"I fetch yun or u fetch?,ham"
706,"All e best 4 ur exam later.,ham"
707,"Thanx 4 e brownie it's v nice...,ham"
708,"Ok i'm coming home now.,ham"
709,"Who u talking about?,ham"
710,"Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,ham"
711,"Yup but not studying surfing lor. I'm in e lazy mode today.,ham"
712,"I've reached already.,ham"
713,"Yup no more already... Thanx 4 printing n handing it up.,ham"
714,"Ok,ham"
715,"Ok i've sent u da latest version of da project.,ham"
716,"Mine here like all fr china then so noisy.,ham"
717,"Here got lots of hair dresser fr china.,ham"
718,"All e best 4 ur driving tmr :-),ham"
719,"He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,ham"
720,"Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,ham"
721,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham"
722,"Thanx...,ham"
723,"Shant disturb u anymore... Jia you...,ham"
724,"Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,ham"
725,"But i'll b going 2 sch on mon. My sis need 2 take smth.,ham"
726,"The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,ham"
727,"Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,ham"
728,"I might go 2 sch. Yar at e salon now v boring.,ham"
729,"Is ur paper in e morn or aft tmr?,ham"
730,"Nothing. Can...,ham"
731,"Shb b ok lor... Thanx...,ham"
732,"Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,ham"
733,"Really dun bluff me leh... U sleep early too. Nite...,ham"
734,"Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,ham"
735,"Wif my family booking tour package.,ham"
736,"How's ur paper?,ham"
737,"Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham"
738,"My phone,ham"
739,"Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,ham"
740,"Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,ham"
741,"That's y i said it's bad dat all e gals know u... Wat u doing now?,ham"
742,"U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,ham"
743,"Aiyar sorry lor forgot 2 tell u...,ham"
744,"I'm meeting Darren...,ham"
745,"U coming 2 pick me?,ham"
746,"Can do lor...,ham"
747,"It's ok lar. U sleep early too... Nite...,ham"
748,"Nvm take ur time.,ham"
749,"Okie,ham"
750,"I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,ham"
751,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.,ham"
752,"Dunno he jus say go lido. Same time 930.,ham"
753,"U know we watchin at lido?,ham"
754,"Wat time do u wan 2 meet me later?,ham"
755,"Now got tv 2 watch meh? U no work today?,ham"
756,"Then we wait 4 u lor... No need 2 feel bad lar...,ham"
757,"Doing nothing, then u not having dinner w us?,ham"
758,"Ok...,ham"
759,"Ok i also wan 2 watch e 9 pm show...,ham"
760,"Sian... Aft meeting supervisor got work 2 do liao... U working now?,ham"
761,"Quite late lar... Ard 12 anyway i wun b drivin...,ham"
762,"Ok but tell me half an hr b4 u come i need 2 prepare.,ham"
763,"Ok...,ham"
764,"Then ur sis how?,ham"
765,"Ard 515 like dat. Y?,ham"
766,"U repeat e instructions again. Wat's e road name of ur house?,ham"
767,"Ok lor...,ham"
768,"I wake up long ago already... Dunno, what other thing?,ham"
769,"We r outside already.,ham"
770,"Ok...,ham"
771,"Ok lor...,ham"
772,"I'm coming home 4 dinner.,ham"
773,"Sorry i din lock my keypad.,ham"
774,"Wat would u like 4 ur birthday?,ham"
775,"I'm leaving my house now...,ham"
776,"Ok i msg u b4 i leave my house.,ham"
777,"Ok i thk i got it. Then u wan me 2 come now or wat?,ham"
778,"He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,ham"
779,"Yar... I tot u knew dis would happen long ago already.,ham"
780,"I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,ham"
781,"Quite lor. But dun tell him wait he get complacent...,ham"
782,"I dun believe u. I thk u told him.,ham"
783,"Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.,ham"
784,"Yup. Wun believe wat? U really neva c e msg i sent shuhui?,ham"
785,"Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,ham"
786,"Then she dun believe wat?,ham"
787,"Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,ham"
788,"Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,ham"
789,"Dunno dat's wat he told me. Ok lor...,ham"
790,"Orh i tot u say she now still dun believe.,ham"
791,"Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,ham"
792,"Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham"
793,"Watching tv lor. Nice one then i like lor.,ham"
794,"Then i buy.,ham"
795,"U buy newspapers already?,ham"
796,"No objection. My bf not coming.,ham"
797,"Anything lor if they all go then i go lor...,ham"
798,"U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,ham"
799,"Enjoy urself tmr...,ham"
800,"Wat r u doing?,ham"
801,"Shuhui has bought ron's present it's a swatch watch...,ham"
802,"Yeah it's jus rite...,ham"
803,"Ha... U jus ate honey ar? So sweet...,ham"
804,"Yar lor actually we quite fast... Cos da ge slow wat... Haha...,ham"
805,"Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,ham"
806,"Okie...,ham"
807,"Hey happy birthday...,ham"
808,"Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,ham"
809,"U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham"
810,"Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham"
811,"Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,ham"
812,"Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,ham"
813,"Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,ham"
814,"U still havent got urself a jacket ah?,ham"
815,"How come u got nothing to do?,ham"
816,"Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,ham"
817,"Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,ham"
818,"Ok lar... Joking wif u oni...,ham"
819,"Okie but i scared u say i fat... Then u dun wan me already...,ham"
820,"Yup having my lunch buffet now.. U eat already?,ham"
821,"U wake up already? Thanx 4 e tau sar piah it's quite nice.,ham"
822,"Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,ham"
823,"Ok...,ham"
824,"I'm home...,ham"
825,"Okie,ham"
826,"U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,ham"
827,"Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,ham"
828,"What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,ham"
829,"My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,ham"
830,"Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,ham"
831,"Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,ham"
832,"U too...,ham"
833,"Ok. C u then.,ham"
834,"Yup song bro. No creative. Neva test quality. He said check review online.,ham"
835,"Wewa is 130. Iriver 255. All 128 mb.,ham"
836,"We left already we at orchard now.,ham"
837,"I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,ham"
838,"U in town alone?,ham"
839,"Anytime...,ham"
840,"Ok... Sweet dreams...,ham"
841,"Jus came back fr lunch wif my sis only. U leh?,ham"
842,"In e msg jus now. U said thanks for gift.,ham"
843,"U're welcome... Caught u using broken english again...,ham"
844,"Yup bathe liao...,ham"
845,"I'm home.,ham"
846,"Ok... U enjoy ur shows...,ham"
847,"Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,ham"
848,"Finish already... Yar they keep saying i mushy... I so embarrassed ok...,ham"
849,"Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,ham"
850,"Hey they r not watching movie tonight so i'll prob b home early...,ham"
851,"Dunno y u ask me.,ham"
852,"I've reached home n i bathe liao... U can call me now...,ham"
853,"Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,ham"
854,"Ok...,ham"
855,"I like dis sweater fr mango but no more my size already so irritating.,ham"
856,"Yup n her fren lor. I'm meeting my fren at 730.,ham"
857,"Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,ham"
858,"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham"
859,"U dun say so early hor... U c already then say...,ham"
860,"Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,ham"
861,"It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,ham"
862,"Hey i'm bored... So i'm thinking of u... So wat r u doing?,ham"
863,"Ok lor. Msg me b4 u call.,ham"
864,"But really quite funny lor wat... Then u shd haf run shorter distance wat...,ham"
865,"I'm in town now so i'll jus take mrt down later.,ham"
866,"What time is ur flight tmr?,ham"
867,"Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,ham"
868,"U so lousy, run already come back then half dead... Hee...,ham"
869,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham"
870,"Finish liao... U?,ham"
871,"U can call now...,ham"
872,"10 min later k...,ham"
873,"Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,ham"
874,"Aiyah e rain like quite big leh. If drizzling i can at least run home.,ham"
875,"That's y u haf 2 keep me busy...,ham"
876,"Yup next stop.,ham"
877,"Yar else i'll thk of all sorts of funny things.,ham"
878,"Aiyah then i wait lor. Then u entertain me. Hee...,ham"
879,"Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,ham"
880,"Yup, no need. I'll jus wait 4 e rain 2 stop.,ham"
881,"I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham"
882,"I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,ham"
883,"Then wat r u doing now? Busy wif work?,ham"
884,"Yup but it's not giving me problems now so mayb i'll jus leave it...,ham"
885,"Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,ham"
886,"Thanx a lot 4 ur help!,ham"
887,"Ok.,ham"
888,"Happy birthday... May u find ur prince charming soon n dun work too hard...,ham"
889,"R u here yet? I'm wearing blue shirt n black pants.,ham"
890,"Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,ham"
891,"Ok that's great thanx a lot.,ham"
892,"I'm e person who's doing e sms survey...,ham"
893,"Hi this is yijue, can i meet u at 11 tmr?,ham"
894,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.,ham"
895,"Eh u send wrongly lar...,ham"
896,"Ok,ham"
897,"Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,ham"
898,"Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,ham"
899,"My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,ham"
900,"I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,ham"
901,"Ok thanx...,ham"
902,"U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,ham"
903,"U sick still can go shopping?,ham"
904,"Horrible gal. Me in sch doing some stuff. How come u got mc?,ham"
905,"Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,ham"
906,"Ok no prob. Take ur time.,ham"
907,"His frens go then he in lor. Not alone wif my mum n sis lor.,ham"
908,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?,ham"
909,"U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,ham"
910,"Yup. Thk of u oso boring wat.,ham"
911,"Nope watching tv at home... Not going out. V bored...,ham"
912,"Wat r u doing?,ham"
913,"Ok set let u noe e details later...,ham"
914,"U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?,ham"
915,"Same to u...,ham"
916,"Okie,ham"
917,"Ok then u tell me wat time u coming later lor.,ham"
918,"I knew it... U slept v late yest? Wake up so late...,ham"
919,"Wat's my dear doing? Sleeping ah?,ham"
920,"Nite...,ham"
921,"Ok. Me watching tv too.,ham"
922,"At home also.,ham"
923,"Ok. I only ask abt e movie. U wan ktv oso?,ham"
924,"I called but no one pick up e phone. I ask both of them already they said ok.,ham"
925,"Then ur physics get a-?,ham"
926,"Aiyah ok wat as long as got improve can already wat...,ham"
927,"I'm reaching home in 5 min.,ham"
928,"Wat u doing there?,ham"
929,"Ok... Help me ask if she's working tmr a not?,ham"
930,"Ok... Then r we meeting later?,ham"
931,"Shopping lor. Them raining mah hard 2 leave orchard.,ham"
932,"Long beach lor. Expected... U having dinner now?,ham"
933,"Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,ham"
934,"How? Izzit still raining?,ham"
935,"Thank u!,ham"
936,"Thanx a lot...,ham"
937,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...,ham"
938,"East coast,ham"
939,"Left dessert. U wan me 2 go suntec look 4 u?,ham"
940,"U can call me now...,ham"
941,"I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham"
942,"Mum not going robinson already.,ham"
943,"Nvm it's ok...,ham"
944,"If u sending her home first it's ok lor. I'm not ready yet.,ham"
945,"Esplanade lor. Where else...,ham"
946,"I'm home. Ard wat time will u reach?,ham"
947,"Jus ans me lar. U'll noe later.,ham"
948,"It's ok i wun b angry. Msg u aft i come home tonight.,ham"
949,"So u wan 2 come for our dinner tonight a not?,ham"
950,"Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,ham"
951,"R we still meeting 4 dinner tonight?,ham"
952,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...,ham"
953,"Is xy in ur car when u picking me up?,ham"
954,"We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,ham"
955,"Taka lor. Wat time u wan 2 come n look 4 us?,ham"
956,"Xy trying smth now. U eat already? We havent...,ham"
957,"Then u go back urself lor...,ham"
958,"Thanx but my birthday is over already.,ham"
959,"Yup i thk so until e shop closes lor.,ham"
960,"Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,ham"
961,"We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,ham"
962,"I'm going 2 orchard now laready me reaching soon. U reaching?,ham"
963,"Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ham"
964,"Aiyah u did ok already lar. E nydc at wheellock?,ham"
965,"I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,ham"
966,"I tot u reach liao. He said t-shirt.,ham"
967,"U reach orchard already? U wan 2 go buy tickets first?,ham"
968,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham"
969,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham"
970,"Is xy going 4 e lunch?,ham"
971,"I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,ham"
972,"Play w computer? Aiyah i tok 2 u lor?,ham"
973,"Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,ham"
974,"Sitting ard nothing to do lor. U leh busy w work?,ham"
975,"Ok lor.,ham"
976,"My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,ham"
977,"Then dun wear jeans lor...,ham"
978,"Depends on where u going lor.,ham"
979,"Ok i go change also...,ham"
980,"Anything lor but toa payoh got place 2 walk meh...,ham"
981,"Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,ham"
982,"I anything lor.,ham"
983,"Jus finish watching tv... U?,ham"
984,"Happy new year to u too!,ham"
985,"Ok,ham"
986,"Havent.,ham"
987,"Ok.,ham"
988,"I reach home safe n sound liao...,ham"
989,"I'll reach in ard 20 mins ok...,ham"
990,"Ok... Let u noe when i leave my house.,ham"
991,"I finished my lunch already. U wake up already?,ham"
992,"Ok lor.,ham"
993,"I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,ham"
994,"As usual u can call me ard 10 smth.,ham"
995,"U call me alter at 11 ok.,ham"
996,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...,ham"
997,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...,ham"
998,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.,ham"
999,"No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,ham"
1000,"Yup ok thanx...,ham"
1001,"Do u noe wat time e place dat sells 4d closes?,ham"
1002,"Ok...,ham"
1003,"No my mum went 2 dentist.,ham"
1004,"No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,ham"
1005,"U having lunch alone? I now so bored...,ham"
1006,"Waiting in e car 4 my mum lor. U leh? Reach home already?,ham"
1007,"Ok.,ham"
1008,"My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,ham"
1009,"I place all ur points on e cultures module already.,ham"
1010,"U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,ham"
1011,"Yup,ham"
1012,"Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham"
1013,"I'm leaving my house now.,ham"
1014,"Ok i msg u b4 i leave my house.,ham"
1015,"Haf u eaten? Wat time u wan me 2 come?,ham"
1016,"Okie,ham"
1017,"Jus finish blowing my hair. U finish dinner already?,ham"
1018,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?,ham"
1019,"Ok no prob...,ham"
1020,"At home watching tv lor.,ham"
1021,"Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,ham"
1022,"Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,ham"
1023,"But i'm surprised she still can guess right lor...,ham"
1024,"How come she can get it? Should b quite diff to guess rite...,ham"
1025,"How come guoyang go n tell her? Then u told her?,ham"
1026,"Ok...,ham"
1027,"Ok... Ur typical reply...,ham"
1028,"If e timing can, then i go w u lor...,ham"
1029,"Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,ham"
1030,"Watching tv lor...,ham"
1031,"Ok...,ham"
1032,"Ok lor then we go tog lor...,ham"
1033,"Yup. Anything lor, if u dun wan it's ok...,ham"
1034,"Jus finish bathing...,ham"
1035,"Ok lor... Or u wan me go look 4 u?,ham"
1036,"Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,ham"
1037,"Wat r u doing now?,ham"
1038,"Ok no prob... I'll come after lunch then...,ham"
1039,"Sorry i'm not free...,ham"
1040,"Anytime lor...,ham"
1041,"Ok then i'll let him noe later n ask him call u tmr...,ham"
1042,"Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,ham"
1043,"Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,ham"
1044,"Call me when u're done...,ham"
1045,"I ask if u meeting da ge tmr nite...,ham"
1046,"Did u receive my msg?,ham"
1047,"R u meeting da ge at nite tmr?,ham"
1048,"Can come my room but cannot come my house cos my house still messy... Haha...,ham"
1049,"Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,ham"
1050,"Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,ham"
1051,"Yup ok...,ham"
1052,"Ok then i come n pick u at engin?,ham"
1053,"Anything lor... U decide...,ham"
1054,"E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,ham"
1055,"No need lar i go engin? Cos my sis at arts today...,ham"
1056,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...,ham"
1057,"Ard 4 lor...,ham"
1058,"Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,ham"
1059,"Then u going ikea str aft dat?,ham"
1060,"Wat time u finish ur lect today?,ham"
1061,"Change again... It's e one next to escalator...,ham"
1062,"Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,ham"
1063,"R u still working now?,ham"
1064,"7 lor... Change 2 suntec... Wat time u coming?,ham"
1065,"Yar lor... How u noe? U used dat route too?,ham"
1066,"I've reached home finally...,ham"
1067,"U calling me right? Call my hand phone...,ham"
1068,"Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,ham"
1069,"Huh so fast... Dat means u havent finished painting?,ham"
1070,"U still painting ur wall?,ham"
1071,"Ok... I din get ur msg...,ham"
1072,"Hey elaine, is today's meeting still on?,ham"
1073,"Hi elaine, is today's meeting confirmed?,ham"
1074,"Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,ham"
1075,"I;m reaching in another 2 stops.,ham"
1076,"Huh but i cant go 2 ur house empty handed right?,ham"
1077,"OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,ham"
1078,"Yup ok...,ham"
1079,"Ok... Take ur time n enjoy ur dinner...,ham"
1080,"So gd got free ice cream... I oso wan...,ham"
1081,"Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,ham"
1082,"Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,ham"
1083,"Die... Now i have e toot fringe again...,ham"
1084,"Horrible bf... I now v hungry...,ham"
